gps_time,lax,lay,laz,avx,avy,avz,x,y,z,w
1429447990.27218,-0.351095155399479,-0.143502005347889,-9.94625136291385,-0.000662482692860067,-0.00273839826695621,0.000486839504446834,-0.00785945355892181,-0.0163530819118023,-0.677740216255188,0.735077559947968
1429447990.28718,-0.303827299599629,-0.122202265149727,-9.66295873742401,-0.00155471661128104,-0.000208377139642835,0.00181001413147897,-0.0078574363142252,-0.0163489226251841,-0.677736520767212,0.735081017017365
1429447990.29218,-0.370000346877612,-0.161014189831354,-9.99605379695892,-0.00161235861014575,5.20992325618863e-05,0.00129814422689378,-0.00786077976226807,-0.0163587108254433,-0.677746176719666,0.735071957111359
1429447990.30218,-0.263145178865641,-0.118979458045168,-9.63928910802305,-0.000420151365688071,5.00327441841364e-05,0.000707600731402636,-0.00785192474722862,-0.0163532104343176,-0.677741467952728,0.735076487064362
1429447990.31718,-0.356900517209992,-0.143021628819266,-9.9319831835866,0.00058636290486902,-0.00299903377890587,0.00148659362457693,-0.00785771571099758,-0.0163664724677801,-0.677747249603271,0.735070765018463
1429447990.32218,-0.251233700466063,-0.131913822352234,-9.67376479359865,0.00126264593563974,-0.00268523092381656,0.000597644713707268,-0.00785311870276928,-0.0163746755570173,-0.67774510383606,0.735072672367096
1429447990.33218,-0.340071876277588,-0.159037903056014,-9.8281358556211,-0.000640837359242141,0.00152245908975601,0.00188194680958986,-0.00784095842391253,-0.016364548355341,-0.677746534347534,0.73507159948349
1429447990.34718,-0.291842646365985,-0.167042802471109,-9.81244027383923,-0.00214289454743266,-0.00284940004348755,0.00113524333573878,-0.00785020459443331,-0.016376243904233,-0.677746951580048,0.735070943832397
1429447990.35218,-0.3343458633136,-0.144312518013176,-9.73798679814041,-0.00212477287277579,-3.19771061185747e-05,0.0027436416130513,-0.00785290636122227,-0.0163672585040331,-0.677741050720215,0.735076546669006
1429447990.36218,-0.36361937713623,-0.156895739928167,-9.94687913942337,-0.000870122981723398,-0.00304725719615817,0.00152492499910295,-0.0078631155192852,-0.0163952223956585,-0.6777463555336,0.735070943832397
1429447990.37718,-0.291304301705584,-0.136520338900154,-9.65654477872848,-0.000954611867200583,0.000311954761855304,0.00169777718838304,-0.00785677600651979,-0.0163905415683985,-0.677742421627045,0.735074698925018
1429447990.38218,-0.371898727844842,-0.174413879228383,-9.98930140008926,-0.00179021549411118,8.32360456115566e-05,0.00214273645542562,-0.00785538367927074,-0.0163925383239985,-0.677750945091248,0.735066831111908
1429447990.39218,-0.259440332998335,-0.136411827891227,-9.6526670605123,-0.00311390589922667,0.000620461883954704,0.00267829443328083,-0.00785041134804487,-0.0163771472871304,-0.677741169929504,0.735076189041138
1429447990.40718,-0.329854835504666,-0.156368683846761,-9.91457261458039,-0.0020012219902128,-0.00132791907526553,0.00232150033116341,-0.00785134639590979,-0.0163779836148024,-0.677740514278412,0.735076785087585
1429447990.41218,-0.240133483650442,-0.142179122713674,-9.7035339089185,-0.0012659466592595,-0.00362468347884715,0.00209198100492358,-0.00785697996616364,-0.0163850151002407,-0.677733778953552,0.735082805156708
1429447990.42218,-0.316445574561693,-0.158197963366844,-9.80265303931832,-0.00139974232297391,-0.00103054114151746,0.00181825866457075,-0.00785110704600811,-0.0163817685097456,-0.677733361721039,0.735083281993866
1429447990.43718,-0.289114390445873,-0.161694573310949,-9.84381390174627,-0.00126510986592621,-0.0038443636149168,0.000424404250225052,-0.00786219723522663,-0.0163975339382887,-0.677739143371582,0.735077559947968
1429447990.44218,-0.312671864709258,-0.126225702846376,-9.71888871443868,-0.00214242655783892,0.00012786993465852,0.00209753168746829,-0.00786180980503559,-0.0163802430033684,-0.677732288837433,0.735084295272827
1429447990.45218,-0.338979404865764,-0.135545511651784,-9.9650647844553,-0.00146983494050801,-0.00169535528402776,0.00322182080708444,-0.00786940380930901,-0.0163894798606634,-0.677731037139893,0.735085070133209
1429447990.46718,-0.270740310169756,-0.103115259964438,-9.65484148194194,-0.00266738049685955,-0.00114856800064445,0.00212147762067616,-0.00787050370126963,-0.0163724739104509,-0.677724242210388,0.735091745853424
1429447990.47218,-0.336197117203474,-0.138166818332393,-9.9995235188961,-0.00166352989617735,8.40282300487161e-05,0.00191143329720944,-0.00787302665412426,-0.0163737963885069,-0.677730619907379,0.735085785388947
1429447990.48218,-0.242089092963934,-0.1023990745191,-9.65360697171092,-0.00229429267346859,-0.000837065686937422,0.00196927739307284,-0.00787418615072966,-0.016358932480216,-0.677723228931427,0.73509293794632
1429447990.50218,-0.238257424112875,-0.105664268593816,-9.71662544568181,-0.000689147796947509,-0.00048215058632195,0.00294064986519516,-0.00787719618529081,-0.016346450895071,-0.677709639072418,0.735105693340302
1429447990.51218,-0.312620682511292,-0.122248204916995,-9.78736720738113,-0.000225680603762157,0.000368393870303407,0.00140520033892244,-0.00787087064236403,-0.0163350347429514,-0.677707076072693,0.735108375549316
1429447990.52718,-0.300631992423348,-0.130450846260739,-9.85067735777497,-0.00214068056084216,-0.0023681481834501,0.00335476873442531,-0.00789118744432926,-0.0163389164954424,-0.67770129442215,0.735113441944122
1429447990.53218,-0.326063188136742,-0.0988516203037463,-9.71260510412455,-0.00237084971740842,-0.000935565563850105,0.000599915569182485,-0.00790055189281702,-0.0163310579955578,-0.677704453468323,0.735110521316528
1429447990.54218,-0.362869837410562,-0.11608799265367,-9.97692473359704,0.00017923275299836,-0.00340097560547292,0.000790935941040516,-0.00791249237954617,-0.0163519699126482,-0.677717447280884,0.735098004341125
1429447990.55718,-0.277016102503613,-0.0900039316552691,-9.6414962626785,-0.00134495203383267,-7.99705740064383e-05,0.00105779885780066,-0.00790902320295572,-0.0163376275449991,-0.677712798118591,0.735102593898773
